"HISEI","HOMEPOS","IMMIG","GRADE","GENDER","MATH","W"
27.52,-0.2818,1,0,0,356.5558,528.1723
28.52,0.2477,1,0,1,349.4509,683.6347
28.48,-0.9141,1,0,0,426.0197,507.4979
40.54,0.8185,1,0,0,365.0086,913.581
32.67,-0.6824,1,0,1,364.4822,1743.588
31.08,0.0509,2,0,0,484.3821,1432.356
68.7,0.5877,1,0,0,480.6235,855.1688
44.92,0.8717,1,1,1,476.6229,1313.755
68.7,8e-04,1,0,1,386.6942,726.7811
21.96,-0.478,1,0,0,390.9413,652.9312
81.4,0.3102,1,0,1,435.7101,635.4133
31.08,-0.1505,1,0,0,597.1477,610.6153
28.52,1.6208,2,0,1,407.3137,713.6537
86.72,0.825,1,0,1,485.2181,524.7728
56,-1.0701,1,0,0,400.8532,1138.511
24.98,-0.8752,1,0,1,490.8654,557.7143
17.56,-0.5207,2,0,0,504.5513,652.9312
61.57,-0.1999,1,1,0,580.6777,960.1918
59.89,0.5567,1,1,0,570.9517,797.4174
15.35,0.0495,2,0,0,357.7679,884.4799
17,1.8396,1,0,0,660.384,509.114
71.39,1.4785,1,0,0,469.7784,785.0401
40.54,-0.3909,1,-1,0,259.6613,798.179
77.1,2.5702,1,0,1,392.0119,557.7143
52.72,-0.358,1,0,1,488.0931,619.6011
26.64,-1.098,2,1,1,516.0759,989.6694
21.82,-0.8003,2,0,1,368.7379,669.7581
28.48,-0.391,1,0,1,557.1023,1792.216
29.84,-0.7129,1,1,1,365.4145,965.853
24.53,0.4071,1,0,0,341.463,487.472
68.7,-0.3268,1,-1,0,376.7311,884.0386
81.4,-0.1235,1,1,1,462.0501,783.1994
70.89,1.2954,1,0,1,411.285,742.905
62.39,-0.2578,1,1,0,484.2589,598.4125
65.01,-0.1004,1,0,1,482.0575,642.6207
70.89,0.8566,1,1,1,505.8504,708.7621
24.68,0.4085,2,0,0,446.0071,995.1476
71.39,0.7737,1,1,1,465.0428,753.0765
78.76,1.4372,1,0,1,571.1035,717.451
22.16,1.0446,2,0,0,557.9705,664.854
79.74,-0.3785,1,0,0,454.2071,827.5847
75.13,-0.7152,1,1,0,530.8926,598.0957
18.08,-0.3989,2,0,1,488.2561,1198.807
85.41,1.9955,1,0,1,562.7882,550.6528
33.76,-0.8635,1,0,0,399.8563,1284.469
76.65,1.0928,1,0,0,417.688,948.6838
22.16,-0.5354,2,1,1,376.8331,1018.546
68.7,0.5903,2,0,1,404.8826,583.2306
70.34,-0.2164,1,1,1,411.9569,686.0447
71.39,0.3672,3,0,0,443.3907,657.8247
57.03,-0.8554,1,0,1,373.7155,684.6931
68.7,-0.1513,2,1,0,473.68,1196.771
85.41,0.5269,1,0,1,430.1024,795.5073
77.1,1.5751,1,0,0,655.1089,588.8771
75.13,0.8168,3,0,1,670.1159,728.2187
70.5,-0.9734,1,1,0,582.2837,861.3702
17,0.4766,1,-1,1,364.1001,739.4062
22.77,-0.7684,1,-1,1,391.5989,752.6869
76.65,-0.1818,1,0,1,409.4268,726.7811
71.55,1.3959,1,1,1,633.9379,627.7474
36.35,-0.8836,1,0,1,496.3662,799.4451
43.85,0.713,1,0,1,450.9298,831.4169
34.25,0.4371,1,0,0,397.7934,594.5036
17,-0.5718,2,0,0,360.1834,1094.958
72.27,1.4733,1,0,1,533.8513,1665.117
52.72,-0.9732,1,-1,0,367.7327,837.0659
31.15,-0.6459,2,0,1,489.0574,830.9162
30.34,0.6757,2,0,1,542.8506,996.4446
62.45,1.8869,1,0,0,519.9032,692.2781
71.39,0.1781,1,0,0,550.7945,977.3989
73.91,1.7877,1,0,0,486.1394,694.2956
71.39,0.5245,2,0,0,303.3236,627.1932
68.7,1.139,1,0,0,447.3791,794.4479
24.53,-1.3714,3,1,1,407.947,796.1624
32.5,0.3933,1,1,0,635.2875,468.9852
33.76,0.4246,2,0,1,434.4218,1048.346
50.15,0.024,1,0,1,588.6612,717.3659
26.64,-0.3545,1,0,1,480.004,940.716
18.08,-1.3612,1,0,1,335.0827,640.1664
32.5,0.5768,3,0,1,406.4729,423.6999
85.41,-0.1214,1,0,0,465.8337,965.3955
68.7,0.3368,1,0,1,394.8807,718.4232
79.74,-1.0514,1,0,1,510.685,706.1739
51.56,-0.7381,1,-1,1,340.5135,778.1364
48.1,0.0622,1,1,1,364.4142,471.3478
76.49,1.1681,1,0,1,578.4521,746.4796
46.38,0.542,1,0,1,534.3357,662.7367
29.14,-1.7434,1,-1,0,288.4796,1131.283
25.95,0.9925,1,0,0,385.6118,708.2753
35.34,-0.2356,1,0,1,453.0281,584.2659
73.91,-1.1493,1,-1,0,420.039,639.848
74.66,0.4347,3,1,0,679.7555,981.3942
77.1,0.9213,1,0,1,545.4698,830.3831
65.01,-0.3718,1,0,1,436.9312,881.215
75.54,1.1396,1,0,0,531.0117,948.6838
48.13,-0.094,1,0,0,395.6658,425.6052
35.34,0.8105,1,1,1,622.4544,1072.886
65.01,1.0874,1,0,1,462.3504,799.4451
24.98,-0.5517,1,0,0,356.6215,588.8771
14.21,-1.3406,1,-1,1,374.0847,874.6423
70.09,1.419,2,0,0,620.8033,735.1987
30.9,-0.9273,2,0,1,362.5065,728.4617
82.41,1.5956,1,0,0,430.6438,855.1688
76.65,0.8361,1,0,1,468.633,687.766
26.64,-0.5863,3,0,1,393.3608,683.6347
70.89,-0.1604,2,0,0,487.2445,913.581
76.49,0.3074,1,0,1,618.7661,1457.534
71.39,-0.9557,1,0,1,319.8733,487.9839
75.43,0.6946,1,0,0,483.0092,837.0659
71.39,1.8981,1,0,1,425.1591,550.6528
21.24,-0.5165,1,0,1,452.8945,619.219
81.78,1.3677,1,0,1,502.9969,817.0923
68.7,1.0311,3,-1,0,404.1794,1039.342
70.34,-0.2266,1,0,1,368.4564,917.1685
59.76,0.5276,1,0,1,423.8394,834.6191
81.13,2.1692,1,0,0,653.3867,485.2478
28.52,-1.0031,1,0,0,459.6473,638.0784
70.34,0.0534,1,0,0,528.1325,611.724
70.57,2.2524,1,0,0,594.7469,694.2956
57.03,-0.3095,1,0,0,448.8721,1751.377
71.39,1.0756,1,0,0,483.5133,670.632
26.62,0.1887,2,0,0,431.4528,720.4376
76.49,-0.0116,1,0,0,315.7436,615.6447
28.04,-1.0207,1,0,0,447.0528,639.848
20.91,-0.2732,2,0,1,387.1785,868.3156
38.88,-0.0418,1,0,0,467.6497,843.5551
32.2,-0.9237,1,0,0,345.3469,604.3597
65.12,0.5593,1,0,0,391.7971,1869.569
30.9,-1.45,1,-1,1,327.125,670.317
68.7,-1.145,1,-1,0,440.4382,645.9519
75.54,0.7207,1,0,0,328.5516,604.3597
76.49,-0.6406,1,0,1,525.2262,670.317
25.95,0.9604,1,0,0,426.2962,1022.545
76.65,1.3565,1,1,1,448.3532,797.9919
65.01,-1.1526,1,0,0,598.4747,771.7018
79.05,-0.0506,1,1,1,464.6852,772.7108
41.27,0.2976,1,0,1,474.148,487.9839
20.91,-2.7972,2,0,1,304.8011,555.8112
79.74,0.6157,2,0,1,475.036,583.2306
68.7,-0.7207,1,0,0,499.0468,961.7906
17.56,-0.8986,2,0,1,468.968,868.3156
35.34,0.4812,3,0,0,662.0402,509.114
17,0.3833,1,0,0,481.6043,629.5511
68.7,-0.4303,1,0,1,432.9857,801.2896
56.5,1.5046,1,0,1,585.7665,528.525
22.16,0.426,2,0,1,630.2236,1457.534
31.08,0.1934,1,0,1,424.5718,717.3659
43.33,-1.5108,1,0,0,373.2433,782.9034
78.86,0.7022,1,0,1,459.2121,1601.608
31.08,0.1127,1,0,1,338.821,684.1351
68.7,1.0529,1,-1,0,462.0407,780.4352
26.64,-1.4006,1,0,0,311.7689,1315.706
39.02,-0.4821,1,0,0,666.921,777.3291
58.07,1.0665,1,0,0,514.4355,1751.377
86.72,1.3466,1,-1,0,410.2715,1134.426
80.78,0.5243,1,0,0,540.6264,1890.195
44.94,0.4716,2,0,0,565.9476,611.724
81.05,0.2743,1,1,1,436.1093,1030.614
24.53,-0.6099,3,0,1,327.587,874.6423
47.83,-0.5101,1,0,0,511.7566,670.8058
25.95,-0.0436,1,-1,0,390.1905,798.179
17,0.0613,1,0,1,440.9388,431.3
60.29,0.777,1,0,1,431.9812,583.2306
36.35,-0.4758,1,0,0,503.0486,536.1598
30.34,0.252,1,0,0,402.8785,948.6838
51.01,0.0659,1,0,1,468.8283,405.3383
76.49,0.0795,1,1,0,565.0324,759.9835
86.72,0.1597,1,1,1,566.9625,646.1569
22.77,-0.6492,1,1,1,489.8731,535.7584
71.39,2.3051,1,0,1,619.131,717.3659
71.39,-1.0582,1,0,1,410.7831,919.9075
68.88,0.6952,1,-1,0,462.5119,1086.259
73.71,1.0944,1,1,1,647.323,611.5021
75.5,1.2512,1,0,0,560.7685,517.2882
75.13,0.8826,1,0,0,688.7693,884.231
50.9,0.9647,1,0,1,601.6981,1489.799
68.7,0.5446,1,0,1,353.3501,1198.807
25.95,-0.4263,3,0,1,350.2832,586.0391
28.52,-0.5731,2,0,0,534.3636,830.9699
65.01,0.6059,1,-1,1,382.3687,713.6537
68.88,0.2012,2,0,1,470.2487,1097.569
59.89,-0.2957,1,0,1,500.9995,1489.799
65.12,-0.181,1,0,0,357.6051,392.1919
24.53,-0.8798,3,-1,1,439.5854,408.2749
75.43,0.8552,1,1,0,624.8965,625.9388
24.68,0.4699,2,0,0,381.175,658.7812
17,-1.2366,1,0,0,629.1385,517.2882
75.13,0.8326,1,1,0,572.8385,532.3079
68.7,0.2167,1,0,0,637.9653,536.1598
32.2,0.4695,1,0,0,526.7072,961.7906
24.53,-0.4275,1,0,1,446.1208,1012.438
54.55,0.9991,1,0,1,556.8356,528.525
81.13,-0.3482,1,0,0,451.1931,690.442
73.38,-1.3063,1,0,1,433.6741,919.9075
73.91,0.6476,3,0,1,442.8253,423.6999
70.89,0.2161,1,0,1,510.9678,1100.551
65.01,0.3973,1,0,1,432.5651,877.4436
70.34,0.7677,1,0,1,466.57,662.7367
71.39,-0.3116,1,-1,1,376.8572,683.6347
48.82,0.5984,1,0,0,472.4682,594.5036
59.89,-0.95,3,0,0,312.9285,924.7837
25.04,-0.4966,3,-1,1,335.5192,516.37
70.09,0.2736,1,0,1,435.2217,662.592
16.38,-1.2935,2,0,1,400.742,1601.608
75.5,0.8836,1,0,0,404.4743,1022.545
52.72,-0.4213,1,0,0,447.5512,708.6669
81.92,0.445,1,0,1,429.4747,1060.04
29.16,-1.1036,2,1,0,366.2314,509.7062
75.54,1.3773,1,0,1,465.8718,797.1312
59.89,-0.2771,1,0,0,462.846,991.338
75.25,1.0231,1,0,1,591.0831,619.6011
88.7,0.7959,1,1,0,502.3938,581.705
65.01,0.7191,1,0,1,445.4062,537.6039
86.72,2.3521,1,0,1,585.802,662.592
27.61,-0.7796,1,-1,0,458.2789,1086.259
47.83,-0.0611,1,0,1,530.0334,718.4232
86.72,1.9476,1,0,0,621.7366,1432.356
70.5,-0.6167,1,0,0,541.2239,1086.259
86.72,2.7099,1,0,0,603.8153,1143.517
19.66,-0.4469,1,-1,1,379.4051,577.0671
29.73,0.991,1,0,1,585.7451,528.525
79.05,-0.1623,1,-1,1,404.5819,577.0671
65.01,0.6413,1,1,1,489.565,559.542
81.92,1.5753,1,0,0,518.9269,588.8771
68.7,-1.4553,1,-1,0,480.2262,1143.517
79.05,-0.198,3,0,1,472.9198,830.9162
75.5,1.924,1,1,1,458.0194,876.2648
59.89,1.154,1,-1,0,539.632,856.1546
26.64,0.0476,1,0,1,330.0043,720.7121
82.41,0.6254,1,0,1,456.5874,765.5425
64.98,0.8306,1,0,1,453.4435,1014.635
32.67,-0.5494,1,0,0,363.8089,752.6338
25.06,-1.3965,1,0,0,461.3766,410.2264
88.31,0.1668,1,0,1,462.4216,717.3659
77.88,1.2879,1,0,1,643.6914,603.7953
21.64,0.0465,2,0,1,381.9096,1601.608
68.7,1.2234,3,0,1,493.8269,603.7953
36.35,0.4737,1,0,1,408.7376,831.4169
81.13,1.5949,1,0,0,490.5435,752.9022
68.7,0.6937,1,0,1,393.9175,537.6039
73.38,0.5311,1,1,0,372.638,816.1815
35.34,-0.2621,2,0,0,457.6521,652.9312
55.03,0.0944,1,0,1,503.8248,638.0784
24.85,0.7436,1,0,1,411.0729,642.6207
53.15,0.4952,1,0,1,476.659,669.7581
43.85,-0.8675,1,0,1,348.4711,1016.773
40.54,1.622,2,0,1,389.4693,669.7047
76.65,-0.39,1,0,1,559.5375,577.0671
48.1,1.1704,1,0,0,518.0798,856.1546
31.08,-0.5147,1,0,0,390.3351,708.6669
68.7,-0.7557,2,0,1,407.1197,1539.223
68.55,0.3086,1,1,1,447.7619,899.4514
65.12,0.8576,1,0,0,496.8028,615.4963
71.39,-0.888,2,0,1,588.062,1097.569
36.92,-0.0671,1,0,1,553.9927,809.9561
84.14,0.1615,1,0,0,451.9618,651.4933
56.35,-0.4085,1,0,0,419.7849,1094.958
57.68,1.0114,1,1,1,427.4362,1113.15
57.64,0.2359,1,0,1,632.2328,696.46
59.76,0.2922,1,-1,0,493.7081,869.9329
68.7,1.3394,1,0,1,617.8153,809.9561
70.89,0.857,1,0,0,527.4591,1022.545
17,-0.6852,2,0,1,544.4194,776.2908
65.01,-0.5969,1,0,0,420.5215,1086.259
17,0.3167,1,-1,1,345.9202,809.9561
70.5,0.4553,2,0,1,435.8062,803.591
48.66,-0.7296,1,0,0,407.5786,652.6496
25.04,0.5749,2,0,1,424.5728,797.1312
19.66,-1.1657,1,-1,0,538.8623,690.442
59.89,1.1227,1,0,1,517.1383,1075.836
57.04,0.0016,2,1,1,645.1202,871.0948
28.52,-0.7169,2,0,0,502.92,410.2264
68.7,1.9114,1,0,1,532.7238,857.0239
68.7,0.371,1,0,0,487.0438,591.343
39.02,1.2352,1,1,1,436.2398,535.7584
55.25,0.785,1,0,0,508.232,596.8058
79.74,0.9849,1,0,0,704.0348,1432.356
76.65,0.8609,1,0,1,550.7799,577.0671
68.7,-0.4094,1,0,0,322.2177,567.7518
24.85,-0.5846,2,1,0,494.2889,592.0215
68.7,1.2014,1,0,0,398.0067,588.8771
88.7,0.2663,1,0,0,561.0644,973.4936
17.55,-0.0457,1,1,1,451.0972,932.8956
71.39,3.1834,1,0,0,456.1113,827.5847
65.01,-1.5843,1,1,0,440.8365,890.6474
88.7,-1.5922,1,0,0,382.7095,863.4596
71.39,1.1863,1,0,0,556.7624,471.0894
79.49,-0.3841,1,0,1,391.9198,830.3831
